雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐驰版,3.45万公里,1.5T,自动,9.39万
传祺GS4 2015款 200T G-DCT豪华版,6.42万公里,1.3T,自动,6.14万
福特 福睿斯 2015款 1.5L 手动时尚型,5.98万公里,1.5L,手动,4.48万
现代 全新胜达 2013款 2.4L 自动两驱智能型,13.49万公里,2.4L,自动,9.20万
现代 全新胜达 2013款 2.4L 自动两驱智能型,7.03万公里,2.4L,自动,8.95万
起亚 狮跑 2007款 2.0L 自动两驱版GL,7.28万公里,2.0L,自动,3.85万
丰田 卡罗拉 2007款 1.8L 手动GLX-i,8.39万公里,1.8L,手动,3.50万
中华 骏捷FRV 2008款 1.6L 自动舒适型,5.01万公里,1.6L,自动,1.15万
福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,3.73万公里,2.0T,自动,10.00万
福特 福睿斯 2017款 1.5L 自动舒适型,5.33万公里,1.5L,自动,5.52万
福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,7.75万公里,1.8L,自动,4.50万
奥迪A6L 2010款 2.0 TFSI 自动标准型,16.23万公里,2.0T,自动,9.00万
大众 桑塔纳 2019款 1.5L 手动风尚版 国VI,0.01万公里,1.5L,手动,6.20万
雪铁龙 世嘉 2013款 三厢 2.0L 手动品悦型,9.84万公里,2.0L,手动,2.96万
别克 威朗 2015款 三厢 15S 自动领先型,7.09万公里,1.5L,自动,7.50万
长安 逸动DT 2018款 1.6L 自动智享型,2.76万公里,1.6L,自动,6.20万
铃木 锋驭 2015款 1.4T 自动两驱尊贵型,3.34万公里,1.4T,自动,7.48万
日产 逍客 2012款 2.0XV 雷 CVT 2WD,3.78万公里,2.0L,自动,8.58万
大众 2019款 宝来·传奇 1.5L 自动时尚型 国V,1.52万公里,1.5L,自动,8.30万
大众 途安 2011款 1.4T 自动智雅版5座,9.73万公里,1.4T,自动,6.30万
本田 缤智 2015款 1.8L CVT两驱豪华型,3.84万公里,1.8L,自动,11.58万
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,4.61万公里,1.0L,自动,5.70万
大众CC 2013款 1.8TSI 尊贵型,6.46万公里,1.8T,自动,15.80万
大众 桑塔纳 2015款 1.6L 自动舒适版,7.48万公里,1.6L,自动,5.80万
奥迪A3 2016款 Limousine 35 TFSI 领英型,2.3万公里,1.4T,自动,12.71万
Jeep 指南者 2014款 改款 2.4L 四驱舒适版(进口),14.58万公里,2.4L,自动,9.90万
现代 瑞纳 2016款 1.4L 自动智能型GLS,4.51万公里,1.4L,自动,6.00万
雪佛兰 创酷 2017款 1.4T 自动两驱舒适型,3.94万公里,1.4T,自动,7.30万
大众 途观 2017款 300TSI 自动两驱丝绸之路舒适版,8.57万公里,1.8T,自动,13.58万
起亚K3 2016款 1.6L 自动GL,3.86万公里,1.6L,自动,6.70万
奔驰GLA级 2015款 GLA 260 4MATIC 运动型,4.9万公里,2.0T,自动,18.28万
北汽绅宝 绅宝X35 2016款 1.5L 自动豪华版,2.03万公里,1.5L,自动,5.60万
雪佛兰 乐驰 2010款 1.2L 运动版活力型,4.59万公里,1.2L,手动,1.48万
奔驰GLA级 2015款 GLA 200 时尚型,5.4万公里,1.6T,自动,16.98万
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,5.15万公里,1.5L,自动,6.90万
宝马1系 2013款 改款 118i 领先型(进口),3.81万公里,1.6T,自动,12.10万
哈弗H6 2013款 升级版 1.5T 手动两驱尊贵型,10.28万公里,1.5T,手动,4.60万
长安 逸动 2012款 1.6L 手动豪华型 国IV,6.6万公里,1.6L,手动,3.40万
大众 捷达 2015款 质惠版 1.6L 自动时尚型,6.15万公里,1.6L,自动,5.85万
斯柯达 柯米克 2018款 1.5L 自动舒适版 国V,1.13万公里,1.5L,自动,9.88万
